id,title,content,category,tags,source,created_at
50,arcee,[Arcee Foundation Models (AFM)](https://huggingface.co/collections/arcee-ai/afm-45b-68823397c351603014963473) are a family of 4.5B parameter open weight models trained by Arcee.ai.,AI/Automation,"afm, ai",phase2_intelligent_organization_arcee,2026-01-17 01:11:24
51,devstral,Devstral Small is a 24B parameter opensource model from MistralAI found on HuggingFace [Devstral-Small-2505](https://huggingface.co/mistralai/Devstral-Small-2505) and [Devstral-Small-2507](https://hug,AI/Automation,ai,phase2_intelligent_organization_devstral,2026-01-17 01:11:24
52,qwen3-next,[Qwen3-Next](https://huggingface.co/collections/Qwen/qwen3-next-68c25fd6838e585db8eeea9d) represents the next-generation foundation models optimized for extreme context length and large-scale paramete,General,generation,phase2_intelligent_organization_qwen3-next,2026-01-17 01:11:24
53,slurm,This directory contains an example SLURM script for running Axolotl training jobs across multiple nodes in a SLURM cluster.,AI/Automation,"script, slurm, ai, code",phase2_intelligent_organization_slurm,2026-01-17 01:11:24
54,apertus,[Apertus](https://huggingface.co/collections/swiss-ai/apertus-llm-68b699e65415c231ace3b059) is a family of opensource models trained by Swiss-ai.,AI/Automation,ai,phase2_intelligent_organization_apertus,2026-01-17 01:11:24
55,llama-4,"While Flash Attention to support is ""enabled"" for Llama-4, the upstream implementation is not correct and usage of Flex Attention is recommended.",General,,phase2_intelligent_organization_llama-4,2026-01-17 01:11:24
56,llama-3,https://llama.meta.com/llama3/,General,,phase2_intelligent_organization_llama-3,2026-01-17 01:11:24
57,llama-2,"This is an example of a llama-2 configuration for 7b and 13b. The yaml file contains configuration for the 7b variant, but you can just aswell use the same settings for 13b.",Technical Documentation,ai,phase2_intelligent_organization_llama-2,2026-01-17 01:11:24
58,jamba,- ✅ qlora w/ deepspeed Zero-2 needs at least 2x GPUs and,General,,phase2_intelligent_organization_jamba,2026-01-17 01:11:24
59,voxtral,Voxtral is a [3B](https://huggingface.co/mistralai/Voxtral-Mini-3B-2507)/[24B](https://huggingface.co/mistralai/Voxtral-Small-24B-2507) parameter opensource model from MistralAI found on HuggingFace. ,AI/Automation,ai,phase2_intelligent_organization_voxtral,2026-01-17 01:11:24
60,streaming,This directory contains example configurations for using Axolotl's streaming dataset,AI/Automation,ai,phase2_intelligent_organization_streaming,2026-01-17 01:11:24
61,hunyuan,"Tencent released a family of opensource models called HunYuan with varying parameter scales of 0.5B, 1.8B, 4B, and 7B scale for both Pre-trained and Instruct variants. The models can be found at [Hugg",AI/Automation,ai,phase2_intelligent_organization_hunyuan,2026-01-17 01:11:24
62,gemma3n,Gemma-3n is a family of multimodal models from Google found on [HuggingFace](https://huggingface.co/collections/google/gemma-3n-685065323f5984ef315c93f4). This guide shows how to fine-tune it with Axo,Technical Documentation,tutorial,phase2_intelligent_organization_gemma3n,2026-01-17 01:11:24
63,seed-oss,[Seed-OSS](https://huggingface.co/collections/ByteDance-Seed/seed-oss-68a609f4201e788db05b5dcd) are a series of 36B parameter open source models trained by ByteDance's Seed Team.,AI/Automation,"oss, ai",phase2_intelligent_organization_seed-oss,2026-01-17 01:11:24
64,distributed-parallel,"This directory contains example configurations for training models using ND Parallelism in Axolotl. These examples demonstrate how to compose different parallelism strategies (FSDP, TP, CP, HSDP) for ",AI/Automation,"hsdp, fsdp, ai",phase2_intelligent_organization_distributed-parallel,2026-01-17 01:11:24
65,alst,Artic Long Sequence Training (ALST) is a technique for training long context models using a variety of optimization,AI/Automation,"seo, alst, ai, optimization",phase2_intelligent_organization_alst,2026-01-17 01:11:24
66,granite4,[Granite 4.0](https://huggingface.co/collections/ibm-granite/granite-40-language-models) are a family of open source models trained by IBM Research.,AI/Automation,"analysis, ibm, research, ai",phase2_intelligent_organization_granite4,2026-01-17 01:11:24
67,archived,This directory contains examples that are no longer maintained and may no longer be functional.,AI/Automation,ai,phase2_intelligent_organization_archived,2026-01-17 01:11:24
68,openllama-3b,Basic full tune,General,,phase2_intelligent_organization_openllama-3b,2026-01-17 01:11:24
69,code-llama,"This is an example of CodeLLaMA configuration for 7b, 13b and 34b.",Technical Documentation,code,phase2_intelligent_organization_code-llama,2026-01-17 01:11:24
70,tiny-llama,This is a simple example of how to finetune TinyLlama1.1B using either lora or qlora:,General,,phase2_intelligent_organization_tiny-llama,2026-01-17 01:11:24
71,qwen,TODO,General,todo,phase2_intelligent_organization_qwen,2026-01-17 01:11:24
72,mpt-7b,```shell,General,,phase2_intelligent_organization_mpt-7b,2026-01-17 01:11:24
73,dbrx,"Currently, for LoRA, only the `q_proj`, `k_proj`, `v_proj` `out_proj` and `layer` Linear layers are trainable.",AI/Automation,ai,phase2_intelligent_organization_dbrx,2026-01-17 01:11:24
74,redpajama,```shell,General,,phase2_intelligent_organization_redpajama,2026-01-17 01:11:24
75,yi-34B-chat,This is an example of a Yi-34B-Chat configuration. It demonstrates that it is possible to finetune a 34B model on a GPU with 24GB of VRAM.,Technical Documentation,"vram, gpu",phase2_intelligent_organization_yi-34B-chat,2026-01-17 01:11:24
76,stablelm-2,This repository contains examples for training and processing using StableLM-2. It also includes a section to help you estimate the GPU requirements for your specific use case.,AI/Automation,"gpu, ai",phase2_intelligent_organization_stablelm-2,2026-01-17 01:11:24
77,pythia-12b,- Single-GPU A100 only (?),General,gpu,phase2_intelligent_organization_pythia-12b,2026-01-17 01:11:24
78,phi,"Due to some nuances with the phi code, please use deepspeed when training phi for full finetune.",AI/Automation,"ai, code",phase2_intelligent_organization_phi,2026-01-17 01:11:24
79,orpheus,"In this example, we finetune Orpcanopylabs/orpheus-tts-0.1-pretrained (a LLaMA 3.2 3b model) to output audio.",AI/Automation,ai,phase2_intelligent_organization_orpheus,2026-01-17 01:11:24
80,magistral,"Magistral Small is a 24B parameter opensource model from MistralAI found on HuggingFace at [2506](https://huggingface.co/mistralai/Magistral-Small-2506), [2507](https://huggingface.co/mistralai/Magist",AI/Automation,ai,phase2_intelligent_organization_magistral,2026-01-17 01:11:24
81,think,This guide covers fine-tuning [Magistral Small 2507](https://huggingface.co/mistralai/Magistral-Small-2507) with thinking capabilities using Axolotl. The thinking model enables explicit Chain-of-Thoug,AI/Automation,"tutorial, ai",phase2_intelligent_organization_think,2026-01-17 01:11:24
82,vision,This guide covers fine-tuning [Magistral Small 2509](https://huggingface.co/mistralai/Magistral-Small-2509) with vision capabilities using Axolotl.,AI/Automation,"tutorial, ai",phase2_intelligent_organization_vision,2026-01-17 01:11:24
83,mistral,Fine Tune:,General,,phase2_intelligent_organization_mistral,2026-01-17 01:11:24
84,mistral-small,This guide covers fine-tuning [Mistral Small 3.1](mistralai/Mistral-Small-3.1-24B-Instruct-2503) and [Mistral Small 3.2](mistralai/Mistral-Small-3.2-24B-Instruct-2506) with vision capabilities using A,AI/Automation,"tutorial, ai",phase2_intelligent_organization_mistral-small,2026-01-17 01:11:24
85,cli,,General,,phase2_intelligent_organization_cli,2026-01-17 01:11:24
86,lm_eval,Run evaluation on model using the popular lm-evaluation-harness library.,General,,phase2_intelligent_organization_lm_eval,2026-01-17 01:11:24
87,kd,```yaml,AI/Automation,,phase2_intelligent_organization_kd,2026-01-17 01:11:24
88,diffusion,This plugin enables diffusion language model training using an approach inspired by,AI/Automation,ai,phase2_intelligent_organization_diffusion,2026-01-17 01:11:24
89,densemixer,See [DenseMixer](https://github.com/yaof20/DenseMixer/),General,,phase2_intelligent_organization_densemixer,2026-01-17 01:11:24
90,cut_cross_entropy,Cut Cross Entropy (CCE) reduces VRAM usage through optimization on the cross-entropy operation during loss calculation.,Analytics/Optimization,"cce, seo, vram, optimization",phase2_intelligent_organization_cut_cross_entropy,2026-01-17 01:11:24
91,liger,"Liger Kernel provides efficient Triton kernels for LLM training, offering:",AI/Automation,"llm, ai",phase2_intelligent_organization_liger,2026-01-17 01:11:24
92,spectrum,"by Eric Hartford, Lucas Atkins, Fernando Fernandes, David Golchinfar",General,,phase2_intelligent_organization_spectrum,2026-01-17 01:11:24
93,llm_compressor,Fine-tune sparsified models in Axolotl using Neural Magic's [LLMCompressor](https://github.com/vllm-project/llm-compressor).,AI/Automation,,phase2_intelligent_organization_llm_compressor,2026-01-17 01:11:24
94,grokfast,See https://github.com/ironjr/grokfast,General,,phase2_intelligent_organization_grokfast,2026-01-17 01:11:24
95,bradley_terry,```yaml,AI/Automation,,phase2_intelligent_organization_bradley_terry,2026-01-17 01:11:24
96,notebooklm-mcp-main,"**Let your CLI agents (Claude, Cursor, Codex...) chat directly with NotebookLM for zero-hallucination answers based on your own notebooks**",AI/Automation,"cli, code",phase2_intelligent_organization_notebooklm-mcp-main,2026-01-17 01:11:24
97,ainews-source-extractor-master,AI News Link Scraper extracts all URLs from the most recent AI News issue (from news.smol.ai) and prepares them for seamless import into Google's NotebookLM. It organizes sources into a dedicated fold,AI/Automation,ai,phase2_intelligent_organization_ainews-source-extractor-master,2026-01-17 01:11:24
98,ainews-source-extractor,AI News Link Scraper extracts all URLs from the most recent AI News issue (from news.smol.ai) and prepares them for seamless import into Google's NotebookLM. It organizes sources into a dedicated fold,AI/Automation,ai,phase2_intelligent_organization_ainews-source-extractor,2026-01-17 01:11:24
99,dotenv,,General,,phase2_intelligent_organization_dotenv,2026-01-17 01:11:24
100,_internal,,General,,phase2_intelligent_organization__internal,2026-01-17 01:11:24
101,cli,,General,,phase2_intelligent_organization_cli,2026-01-17 01:11:24
102,PageLM-main,"<img width=""full"" height=""auto"" alt=""pagelm"" src=""https://github.com/user-attachments/assets/d3133be1-1931-4132-9301-3596ebb21122"" />",General,,phase2_intelligent_organization_PageLM-main,2026-01-17 01:11:24
103,NotebookLM_Youtube_Automator-main,Extracts YouTube video lists/links and automates adding them to NotebookLM.,Content Creation,,phase2_intelligent_organization_NotebookLM_Youtube_Automator-main,2026-01-17 01:11:24
104,auto-paper-digest-main,"<p align=""center"">",General,,phase2_intelligent_organization_auto-paper-digest-main,2026-01-17 01:11:24
105,portal,title: Paper Digest Portal,General,,phase2_intelligent_organization_portal,2026-01-17 01:11:24
106,notebooklm-kit-main,![Banner](./.github/asset/banner.png),General,,phase2_intelligent_organization_notebooklm-kit-main,2026-01-17 01:11:24
107,comics_generator-master,This program use Generative AI to create an entire comic strip from a short scenario.,AI/Automation,ai,phase2_intelligent_organization_comics_generator-master,2026-01-17 01:11:24
108,insights-lm-public-main,"<img src=""https://www.theaiautomators.com/wp-content/uploads/2025/07/Group-2651.svg"" alt=""InsightsLM Logo"" width=""600""/>",AI/Automation,"content, ai",phase2_intelligent_organization_insights-lm-public-main,2026-01-17 01:11:24
109,SurfSense-main,![new_header](https://github.com/user-attachments/assets/e236b764-0ddc-42ff-a1f1-8fbb3d2e0e65),General,,phase2_intelligent_organization_SurfSense-main,2026-01-17 01:11:24
110,surfsense_browser_extension,Use this guide to build for your browser https://docs.plasmo.com/framework/workflows/build,Technical Documentation,"tutorial, framework",phase2_intelligent_organization_surfsense_browser_extension,2026-01-17 01:11:24
111,surfsense_backend,,General,,phase2_intelligent_organization_surfsense_backend,2026-01-17 01:11:24
112,Local-NotebookLM-main,![logo](logo.jpeg),General,,phase2_intelligent_organization_Local-NotebookLM-main,2026-01-17 01:11:24
113,automated-notebooklm-main,"This repository demonstrates an experimental pipeline that automates Google NotebookLM to generate podcast audio from URLs, converts the audio to MP3, and optionally uploads an episode to RedCircle. I",AI/Automation,,phase2_intelligent_organization_automated-notebooklm-main,2026-01-17 01:11:24
114,notebooklm-skill-master,"Welcome to notebooklm-skill! This tool allows Claude Code to communicate directly with your Google NotebookLM notebooks. You can query your uploaded documents and receive accurate, citation-backed ans",AI/Automation,"tool, code",phase2_intelligent_organization_notebooklm-skill-master,2026-01-17 01:11:24
115,how-to-data-science-main,"Scripts, notebooks, and articles about data science in general.",Code/Scripts,"script, code",phase2_intelligent_organization_how-to-data-science-main,2026-01-17 01:11:24
116,Programming_Books-main,Just a selection of programming books to help users learn.,General,code,phase2_intelligent_organization_Programming_Books-main,2026-01-17 01:11:24
117,notebookllama-main,https://github.com/user-attachments/assets/7e9cca45-8a4c-4dfa-98d2-2cef147422f2,General,,phase2_intelligent_organization_notebookllama-main,2026-01-17 01:11:24
118,skill-main,"This repository contains a curated collection of skills for AI agents. While originally developed for Claude Code, these skills work with various AI agents to help them handle tasks more effectively.",AI/Automation,"ai, code",phase2_intelligent_organization_skill-main,2026-01-17 01:11:24
119,knowledge-generator-main,A simple tool for generating information about a topic to be fed into [NotebookLM](https://notebooklm.google.com/).,General,tool,phase2_intelligent_organization_knowledge-generator-main,2026-01-17 01:11:24
120,youtube-bot-main,*Industry-leading audience development solution for content creators*,Content Creation,"content, code",phase2_intelligent_organization_youtube-bot-main,2026-01-17 01:11:24
121,podcastfy-main,"<a name=""readme-top""></a>",Technical Documentation,,phase2_intelligent_organization_podcastfy-main,2026-01-17 01:11:24
122,source,[![PyPi Status](https://img.shields.io/pypi/v/podcastfy)](https://pypi.org/project/podcastfy/),Content Creation,,phase2_intelligent_organization_source,2026-01-17 01:11:24
123,whisperX-main,"<p align=""center"">",General,,phase2_intelligent_organization_whisperX-main,2026-01-17 01:11:24
124,OhOnePro-main,"<img src=""https://ohonepro.com/images/app-icon.png"" alt=""Oh One Pro"" width=""100"" />",General,,phase2_intelligent_organization_OhOnePro-main,2026-01-17 01:11:24
125,notebooklm-py-main,"<p align=""left"">",General,,phase2_intelligent_organization_notebooklm-py-main,2026-01-17 01:11:24
126,sunova-visualize,"- **Purpose**: Sunova Visualize turns an artist’s audio into a production-ready music video plan. The React SPA handles onboarding, project management, and editor tooling, while Supabase Edge Function",Code/Scripts,"spa, tool",phase2_intelligent_organization_sunova-visualize,2026-01-17 01:11:24
127,music-mcp,Overview,General,,phase2_intelligent_organization_music-mcp,2026-01-17 01:11:24
128,notebooklm-latex-renderer-main,This Chrome extension automatically finds and renders LaTeX mathematical formulas embedded within Google's NotebookLM service (`notebooklm.google.com`). It uses the KaTeX library to display both inlin,AI/Automation,ai,phase2_intelligent_organization_notebooklm-latex-renderer-main,2026-01-17 01:11:24
129,Ethical_Hacking_Video_Course-main,This is a selection of ethical hacking courses on video,Content Creation,,phase2_intelligent_organization_Ethical_Hacking_Video_Course-main,2026-01-17 01:11:24
130,AI-podcast-generator-main,This script generates an AI-powered podcast based on a given text.,Code/Scripts,"script, ai, code",phase2_intelligent_organization_AI-podcast-generator-main,2026-01-17 01:11:24
131,notebook-cat-main,"A tool to optimally concatenate text, markdown, and JSON files into larger source files (""sources"") for Google NotebookLM, maximizing source count and word limits. Features both a command-line interfa",Code/Scripts,"tool, ai, json",phase2_intelligent_organization_notebook-cat-main,2026-01-17 01:11:24
132,notebook_cat,,General,,phase2_intelligent_organization_notebook_cat,2026-01-17 01:11:24
133,vidgen-main,⚠️ **NOTICE: This project is no longer maintained.** ⚠️,AI/Automation,"notice, ai",phase2_intelligent_organization_vidgen-main,2026-01-17 01:11:24
134,DIY-Podcast-Generator-main,![License](https://img.shields.io/badge/license-Apache2.0-blue),General,,phase2_intelligent_organization_DIY-Podcast-Generator-main,2026-01-17 01:11:24
135,Simli_NotebookLM-main,![image](https://github.com/user-attachments/assets/3112a14e-d95e-4c83-8786-9d52cce2c087),General,,phase2_intelligent_organization_Simli_NotebookLM-main,2026-01-17 01:11:24
136,open-notebookllm-master,"Open source implementation of NotebookLM. Supports multiple AI providers, RAG-based retrieval, podcast generation, speech-to-text, and more.",AI/Automation,"rag, generation, ai",phase2_intelligent_organization_open-notebookllm-master,2026-01-17 01:11:24
15,Whisper API Python Script,"from fastapi import FastAPI, Form, UploadFile, File
from fastapi import HTTPException, status

import os
import shutil
from functools import lru_cache
from pathlib import Path
from typing import Any, List, Union, Optional

from datetime import timedelta

import numpy as np
import mlx_whisper

app = FastAPI()

# @lru_cache(maxsize=1)
# def get_whisper_model(whisper_model: str):
#     """"""Get a whisper model from the cache or download it if it doesn't exist""""""
#     model = mlx_whisper.load_model(whisper_model)
#     return model

def transcribe(audio_path: str, whisper_model: str, **whisper_args):
    """"""Transcribe the audio file using whisper""""""
    transcript = mlx_whisper.transcribe(audio_path)
    return transcript

WHISPER_DEFAULT_SETTINGS = {
    ""whisper_model"": ""large-v2"",
}

UPLOAD_DIR=""/tmp""

@app.post('/v1/audio/transcriptions')
async def transcriptions(model: str = Form(...),
                         file: UploadFile = File(...),
                         response_format: Optional[str] = Form(None),
                         prompt: Optional[str] = Form(None),
                         temperature: Optional[float] = Form(None),
                         language: Optional[str] = Form(None)):

    assert model == ""whisper-1""
    if file is None:
        raise HTTPException(
            status_code=status.HTTP_400_BAD_REQUEST,
            detail=f""Bad Request, bad file""
            )
    if response_format is None:
        response_format = 'json'
    if response_format not in ['json',
                           'text',
                           'srt',
                           'verbose_json',
                           'vtt']:
        raise HTTPException(
            status_code=status.HTTP_400_BAD_REQUEST,
            detail=f""Bad Request, bad response_format""
            )
    if temperature is None:
        temperature = 0.0
    if temperature < 0.0 or temperature > 1.0:
        raise HTTPException(
            status_code=status.HTTP_400_BAD_REQUEST,
            detail=f""Bad Request, bad temperature""
            )

    filename = file.filename
    fileobj = file.file
    upload_name = os.path.join(UPLOAD_DIR, filename)
    upload_file = open(upload_name, 'wb+')
    shutil.copyfileobj(fileobj, upload_file)
    upload_file.close()

    transcript = transcribe(audio_path=upload_name, **WHISPER_DEFAULT_SETTINGS)

    if response_format in ['text']:
        return transcript['text']

    if response_format in ['srt']:
        ret = """"
        for seg in transcript['segments']:
            td_s = timedelta(milliseconds=seg[""start""]*1000)
            td_e = timedelta(milliseconds=seg[""end""]*1000)

            t_s = f'{td_s.seconds//3600:02}:{(td_s.seconds//60)%60:02}:{td_s.seconds%60:02}.{td_s.microseconds//1000:03}'
            t_e = f'{td_e.seconds//3600:02}:{(td_e.seconds//60)%60:02}:{td_e.seconds%60:02}.{td_e.microseconds//1000:03}'

            ret += '{}\n{} --> {}\n{}\n\n'.format(seg[""id""], t_s, t_e, seg[""text""])
        ret += '\n'
        return ret

    if response_format in ['vtt']:
        ret = ""WEBVTT\n\n""
        for seg in transcript['segments']:
            td_s = timedelta(milliseconds=seg[""start""]*1000)
            td_e = timedelta(milliseconds=seg[""end""]*1000)

            t_s = f'{td_s.seconds//3600:02}:{(td_s.seconds//60)%60:02}:{td_s.seconds%60:02}.{td_s.microseconds//1000:03}'
            t_e = f'{td_e.seconds//3600:02}:{(td_e.seconds//60)%60:02}:{td_e.seconds%60:02}.{td_e.microseconds//1000:03}'

            ret += ""{} --> {}\n{}\n\n"".format(t_s, t_e, seg[""text""])
        return ret

    if response_format in ['verbose_json']:
        transcript.setdefault('task', 'transcribe')
        transcript.setdefault('duration', transcript['segments'][-1]['end'])
        if transcript['language'] == 'ja':
            transcript['language'] = 'japanese'
        return transcript

    return {'text': transcript['text']}
",Code/Scripts,"tool, code, api, script, ai, webvtt",hybrid_intelligence_system,2026-01-17 01:05:00
14,Tiny OpenAI Whisper API Tool,"# Tiny OpenAI Whisper API Analysis
OpenAI Whisper API-style local server running on FastAPI.
Compatible with OpenAI Whisper API for companies behind proxies/security firewalls.
Built on Python 3.10.8, uses FastAPI, supports various output formats (json, text, srt, vtt).
Provides speech-to-text transcription capabilities with local processing.
",Code/Scripts,"analysis, ai, script, code, python, api",auto_analyzer,2026-01-17 01:04:47
13,NotebookLM Categorizer Tool,"# NotebookLM Categorizer Analysis
This is a browser extension that adds smart category filter buttons to NotebookLM.
It detects titles and automatically groups them into categories like Tutorial, Finance, General.
Handles SPA navigation seamlessly.
Features: Auto-categorizes, filter UI, SPA support, remembers filters, customizable categories.",Code/Scripts,,conversation_capture,2026-01-17 01:04:37
